"HolderAddress","Quantity","PendingBalanceUpdate"
"0xf52393e120f918ffba50410b90a29b1f8250c879","257","No"
"0xb2f4b16595e02a9721f97e3e30fb5bbbf73f5f54","163","No"
"0x7c00c9f0e7aed440c0c730a9bd9ee4f49de20d5c","103","No"
"0x4f74a486087b968798df4d1edf084adff911b3cb","62","No"
"0x66e5761a2103d7d3537d6ac45570a0a9831c7f7a","49","No"
"0xa655c36eba808148497aed8bacd1c8cf6c59335c","48","No"
"0x3259ebc7b7b5f6f4d5ed3066366f11a3c4452a39","41","No"
"0xb394f1aa30ba874df3ae6097bf4c2474b2d8f3ac","37","No"
"0xd693340a27908fc73c14739cf36ed2541446275d","36","No"
"0x7485ac6d8534691993348d51ab0f131a19fff763","34","No"
"0xe53ab42ef1cc3da793de5fe281f564b1946357b6","34","No"
"0x4f9997213124846ed58215c13835d4a22e10e14a","33","No"
"0x2afa2dae85a779b6098f03466c2a29d5a86af707","31","No"
"0x4ff05543d3a53ce52da701fba2af11255f0a066c","31","No"
"0x9f7064dfe6ca5856b3afd7a3b3974686a35bdab5","31","No"
"0xcd4fec10c8ad4873e209062b31defb684ff8cb7c","29","No"
"0xc8c4ab6e1e7dcc4e2957244baba86ed937dc0ee8","28","No"
"0x63009ae2bad374c3adaca32c220f704581363af4","27","No"
"0x000000000000000000000000000000000000dead","26","No"
"0x2dce231cd14daef55d6ab0654da7c58b23100782","26","No"
"0xa2b3b5c4ab5f3d3afdd2f73352a852a6e8c4df65","25","No"
"0x990050d60f99c23c8e546856955fba5cdd5844db","24","No"
"0x5f7190b7943858b7bdd24f069241612091c6a986","23","No"
"0xb653d0904d022893cf83cb3b666fd84656d04cbf","23","No"
"0x5b10d7201020cc1dd6bf13df667a2af41dfeae3a","22","No"
"0x614a61a3b7f2fd8750acaad63b2a0cfe8b8524f1","22","No"
"0xbf5c6d85510e491cd45d1264fffec0c2c4282564","22","No"
"0x3df364ed7e8a887f7f9c240f7e281a4ea05ce03f","21","No"
"0xb53f052f717a340147f71fdd9659c2c008b35a52","18","No"
"0xbe3bf9bb42bf423695b792250be206c9a58e2de1","18","No"
"0xd2419d57841517124b096d73a9bf804732aadc65","18","No"
"0x65d472172e4933aa4ddb995cf4ca8bef72a46576","17","No"
"0xa16ce88f9f702d390244ce016f9416b23c9c3027","17","No"
"0xd2af803ad747ea12acf5ae468056703ae48785b5","17","No"
"0x4b35237538fe70863d7e7bbbc83f3f621c6c4fb9","16","No"
"0x52af787439a82f36d6ef6b0da0f0e5ecce29ff90","15","No"
"0x791fad8329a0a56e2ce98380d6d6fda3302337da","15","No"
"0x9eec0b5bd8a48047f0dcc61e98b4b92951480f98","15","No"
"0xa420d99a9859cf648134d70669f426398c2cdf31","15","No"
"0x36bd6221c2016371c3af00071726578b91acb007","14","No"
"0x442dccee68425828c106a3662014b4f131e3bd9b","14","No"
"0x8c9897c494deaa0e0b642f33770072ef5bcbf73d","14","No"
"0x130fab6829a0726133d0f13e31f6533b1b44c877","13","No"
"0x30602250c5f1fcba5407e99b1dfaab992ea4ffd2","13","No"
